batch_id	original_path	new_path	category	risk	references	verification	status	notes
20260727-docs-authority	docs/architecture/MULTIAGENT_REFACTOR.md	TBR/20260727-docs-authority/docs/architecture/MULTIAGENT_REFACTOR.md	TBR candidate	medium	conflicts with FOUNDATION ownership model	rg MULTIAGENT_REFACTOR; prove no code import of path	quarantined	Superseded multi-agent proposal vs Companion/worker model
20260727-docs-authority	docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md	TBR/20260727-docs-authority/docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md	TBR candidate	low	phase checkboxes stale vs si/ modules	rg ARES_IMPLEMENTATION_ROADMAP	quarantined	Historical roadmap; leave empty docs/roadmap/ or note in index
20260727-docs-authority	docs/JAEGERAI-INTEGRATION.md	TBR/20260727-docs-authority/docs/JAEGERAI-INTEGRATION.md	TBR candidate	medium	status claims SI disabled as current	rg JAEGERAI-INTEGRATION	quarantined	Unsafe as current guide without rewrite; quarantine rather than silent keep
20260727-docs-authority	.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	TBR/20260727-docs-authority/.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	TBR candidate	low	self-marked unapproved proposal	rg PHASE3_MEMORY	deferred	Ignored local proposal; not tracked and left in place
20260727-docs-authority	docs/ui/glassmorphism-plan.md	docs/ui/glassmorphism-plan.md	active owner	medium	webui/frontend/src/island-backdrop.ts; assets/index.ts; shell-tokens.test.ts	n/a	deferred	Live code comments reference path; separate batch if moved
20260727-docs-authority	webui/FORK_CHANGES.md	webui/FORK_CHANGES.md	historical documentation	low	README.md changelog link	n/a	deferred	Keep stable path; provenance log
20260727-docs-authority	docs/architecture/RUNTIME.md	docs/architecture/RUNTIME.md	current documentation	high	FOUNDATION; ADRs; many agents	n/a	stay	Canonical runtime; only link text may change for decisions/ move
20260727-docs-authority	docs/architecture/PRODUCT_SURFACES.md	docs/architecture/PRODUCT_SURFACES.md	current documentation	high	app-navigation.ts; App.tsx; library_store.py	n/a	stay	Code-referenced path
20260727-docs-authority	docs/architecture/SYSTEM_BOUNDARIES.md	docs/architecture/SYSTEM_BOUNDARIES.md	current documentation	high	webui/api/si/__init__.py	n/a	stay	Code-referenced path
20260727-docs-authority	docs/architecture/WORKER_ADAPTER_CONTRACT.md	docs/architecture/WORKER_ADAPTER_CONTRACT.md	current documentation	high	webui/api/si/__init__.py	n/a	stay	Code-referenced path
20260727-docs-authority	docs/architecture/TRUST_AND_PRIVACY_MODEL.md	docs/architecture/TRUST_AND_PRIVACY_MODEL.md	current documentation	high	webui/api/si/__init__.py; PRODUCT_SURFACES	n/a	stay	Code-referenced path
20260727-docs-authority	docs/architecture/MEMORY_AND_CONTEXT_MODEL.md	docs/architecture/MEMORY_AND_CONTEXT_MODEL.md	current documentation	high	webui/api/si/__init__.py	n/a	stay	Code-referenced path
20260727-docs-authority	docs/architecture/ORCHESTRATION_MODEL.md	docs/architecture/ORCHESTRATION_MODEL.md	current documentation	high	webui/api/si/__init__.py	n/a	stay	Code-referenced path
20260727-docs-authority	.claude/FOUNDATION.md	.claude/FOUNDATION.md	current documentation	high	all agent entry points	n/a	stay	Canonical product definition; framing edits only outside this move map
20260727-docs-authority	.claude/webui/ARCHITECTURE.md	.claude/webui/ARCHITECTURE.md	current documentation	medium	webui/CONTRIBUTING.md and docs/CONTRACTS.md still point at missing webui/ARCHITECTURE.md	repair links to .claude/webui/ARCHITECTURE.md	repaired	No git mv; fix stale links in CONTRIBUTING/CONTRACTS
20260727-docs-authority	.claude/TESTING.md	.claude/TESTING.md	current documentation	medium	.claude/webui/TESTING.md points here; webui CONTRIBUTING points at missing webui/TESTING.md	repair links to .claude/TESTING.md or .claude/webui/TESTING.md	repaired	No git mv; fix stale links
20260726-existing-attic	attic/island-backdrop-legacy	TBR/20260726-existing-attic/attic/island-backdrop-legacy	historical source	medium	frontend island-backdrop comments; docs/ui/glassmorphism-plan.md	frontend focused tests	quarantined	Existing attic content moved to the requested TBR convention
20260727-root-apps	ARES-Mac_os	apps/macos	active owner	high	Package.swift; bin/ares; install.sh; CLAUDE	swift build	moved	Native Mac product root
20260727-root-apps	webui/frontend	apps/web	active owner	high	CI frontend jobs; package-lock	npm path repairs	moved	React UI root
20260727-root-apps	webui	services/controller	active owner	high	start.sh ctl.sh install CI Docker tests	SI baseline suite	moved	Controller after frontend split
20260727-root-apps	observer	services/observer	active owner	medium	observer	ls services/observer	moved	Optional observation service
20260727-pass2-core	services/controller/api/si	core/si	active owner	high	api.si imports; fastapi si router	SI 128 suite	moved	Companion SI package; api.si shim
20260727-pass2-core	services/controller/api/journal	core/memory/journal	active owner	high	api.journal imports	SI 128 suite	moved	Journal under core memory; api.journal shim
20260727-pass2-core	services/controller/api/research	core/knowledge/research	active owner	medium	api.research	import smoke	moved	api.research shim
20260727-pass2-integrations	services/controller/api/backends	integrations/workers	active owner	high	api.backends	SI 128 suite	moved	Workers; api.backends shim
20260727-pass2-integrations	services/controller/api/providers	integrations/providers	active owner	high	api.providers	SI 128 suite	moved	api.providers shim
20260727-pass2-integrations	services/controller/api/adapters	integrations/tools/adapters	active owner	medium	api.adapters	import smoke	moved	api.adapters shim
20260727-docs-authority-p3	.claude/ROADMAP.md	TBR/20260727-docs-authority-p3/.claude/ROADMAP.md	historical documentation	low	agent pointers	docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/SPRINTS.md	TBR/20260727-docs-authority-p3/.claude/SPRINTS.md	historical documentation	low		docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/BUGS.md	TBR/20260727-docs-authority-p3/.claude/BUGS.md	historical documentation	low		docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/webui/ROADMAP.md	TBR/20260727-docs-authority-p3/.claude/webui/ROADMAP.md	historical documentation	low		docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/webui/SPRINTS.md	TBR/20260727-docs-authority-p3/.claude/webui/SPRINTS.md	historical documentation	low		docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/webui/BUGS.md	TBR/20260727-docs-authority-p3/.claude/webui/BUGS.md	historical documentation	low		docs/README	quarantined	Pass 3
20260727-docs-authority-p3	.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	TBR/20260727-docs-authority-p3/.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	TBR candidate	low	unapproved	docs/README	quarantined	Was untracked; now quarantined
20260727-pass2c-core	services/controller/api/memory_store.py	core/memory/memory_store.py	active owner	medium	api.* shims	SI 128	moved	memory; api shim retained
20260727-pass2c-core	services/controller/api/context_store.py	core/memory/context_store.py	active owner	medium	api.* shims	SI 128	moved	memory; api shim retained
20260727-pass2c-core	services/controller/api/context_chunker.py	core/memory/context_chunker.py	active owner	medium	api.* shims	SI 128	moved	memory; api shim retained
20260727-pass2c-core	services/controller/api/context_embeddings.py	core/memory/context_embeddings.py	active owner	medium	api.* shims	SI 128	moved	memory; api shim retained
20260727-pass2c-core	services/controller/api/library_store.py	core/knowledge/library_store.py	active owner	medium	api.* shims	SI 128	moved	knowledge; api shim retained
20260727-pass2c-core	services/controller/api/notes_store.py	core/knowledge/notes_store.py	active owner	medium	api.* shims	SI 128	moved	knowledge; api shim retained
20260727-pass2c-core	services/controller/api/wiki_store.py	core/knowledge/wiki_store.py	active owner	medium	api.* shims	SI 128	moved	knowledge; api shim retained
20260727-pass2c-core	services/controller/api/media_store.py	core/knowledge/media_store.py	active owner	medium	api.* shims	SI 128	moved	knowledge; api shim retained
20260727-pass2c-core	services/controller/api/run_journal.py	core/events/run_journal.py	active owner	medium	api.* shims	SI 128	moved	events; api shim retained
20260727-pass2c-core	services/controller/api/turn_journal.py	core/events/turn_journal.py	active owner	medium	api.* shims	SI 128	moved	events; api shim retained
20260727-pass2c-core	services/controller/api/route_approvals.py	core/authority/route_approvals.py	active owner	medium	api.* shims	SI 128	moved	authority; api shim retained
20260727-pass2c-core	services/controller/api/os_automation_consent.py	core/authority/os_automation_consent.py	active owner	medium	api.* shims	SI 128	moved	authority; api shim retained
20260727-pass4-frontend	apps/web/src/pages/ConversationPage.tsx	apps/web/src/features/advanced-chat/ConversationPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface advanced-chat
20260727-pass4-frontend	apps/web/src/pages/SharePage.tsx	apps/web/src/features/advanced-chat/SharePage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface advanced-chat
20260727-pass4-frontend	apps/web/src/pages/surfaces/CompanionPage.tsx	apps/web/src/features/companion/CompanionPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface companion
20260727-pass4-frontend	apps/web/src/pages/TodayPage.tsx	apps/web/src/features/companion/TodayPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface companion
20260727-pass4-frontend	apps/web/src/pages/InboxPage.tsx	apps/web/src/features/companion/InboxPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface companion
20260727-pass4-frontend	apps/web/src/pages/RoutinesPage.tsx	apps/web/src/features/companion/RoutinesPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface companion
20260727-pass4-frontend	apps/web/src/pages/ActivationScreen.tsx	apps/web/src/features/companion/ActivationScreen.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface companion
20260727-pass4-frontend	apps/web/src/pages/surfaces/SelfPage.tsx	apps/web/src/features/self/SelfPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface self
20260727-pass4-frontend	apps/web/src/pages/GoalsPage.tsx	apps/web/src/features/self/GoalsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface self
20260727-pass4-frontend	apps/web/src/pages/TimelinePage.tsx	apps/web/src/features/self/TimelinePage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface self
20260727-pass4-frontend	apps/web/src/pages/CasesPage.tsx	apps/web/src/features/self/CasesPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface self
20260727-pass4-frontend	apps/web/src/pages/surfaces/WorkshopPage.tsx	apps/web/src/features/workshop/WorkshopPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/WorkspacePage.tsx	apps/web/src/features/workshop/WorkspacePage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/TerminalPage.tsx	apps/web/src/features/workshop/TerminalPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/CanvasPage.tsx	apps/web/src/features/workshop/CanvasPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/ProjectsPage.tsx	apps/web/src/features/workshop/ProjectsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/BoardChatPage.tsx	apps/web/src/features/workshop/BoardChatPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/IssuesPage.tsx	apps/web/src/features/workshop/IssuesPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface workshop
20260727-pass4-frontend	apps/web/src/pages/surfaces/LibraryPage.tsx	apps/web/src/features/library/LibraryPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface library
20260727-pass4-frontend	apps/web/src/pages/surfaces/LibraryCollectionsPage.tsx	apps/web/src/features/library/LibraryCollectionsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface library
20260727-pass4-frontend	apps/web/src/pages/SearchPage.tsx	apps/web/src/features/library/SearchPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface library
20260727-pass4-frontend	apps/web/src/pages/surfaces/SystemPage.tsx	apps/web/src/features/system/SystemPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/AgentsPage.tsx	apps/web/src/features/system/AgentsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/AgentDetailPage.tsx	apps/web/src/features/system/AgentDetailPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/ConnectionsPage.tsx	apps/web/src/features/system/ConnectionsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/McpPage.tsx	apps/web/src/features/system/McpPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/SkillsPage.tsx	apps/web/src/features/system/SkillsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/SkillStudioPage.tsx	apps/web/src/features/system/SkillStudioPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/HatcheryPage.tsx	apps/web/src/features/system/HatcheryPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/ActivityPage.tsx	apps/web/src/features/system/ActivityPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/AnalyticsPage.tsx	apps/web/src/features/system/AnalyticsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/UsageCostPage.tsx	apps/web/src/features/system/UsageCostPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/PairingPage.tsx	apps/web/src/features/system/PairingPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/WebhooksPage.tsx	apps/web/src/features/system/WebhooksPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/SecretsPage.tsx	apps/web/src/features/system/SecretsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/ConfigPage.tsx	apps/web/src/features/system/ConfigPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-pass4-frontend	apps/web/src/pages/SettingsPage.tsx	apps/web/src/features/system/SettingsPage.tsx	active owner	medium	App.tsx app-navigation	typecheck+vitest	moved	product surface system
20260727-root-ops-tbr	scripts	TBR/20260727-root-ops-tbr/scripts	TBR candidate	low	CI docs	ls root	moved	first principles root cleanup
20260727-root-ops-tbr	tools	TBR/20260727-root-ops-tbr/tools	TBR candidate	low	CI docs	ls root	moved	first principles root cleanup
20260727-root-ops-tbr	config	TBR/20260727-root-ops-tbr/config	TBR candidate	low	CI docs	ls root	moved	first principles root cleanup
20260727-root-ops-tbr	TBR/20260727-root-ops-tbr/tools/check-source-ownership.sh	.github/scripts/check-source-ownership.sh	TBR candidate	low	CI docs	ls root	moved	first principles root cleanup
